,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
329,Business and administration,Global Business (Germany),DC113,484,,,,484,,529,8,Dublin City University,,,
330,Business and administration,Global Business (Spain),DC114,544,,,,544,,562,8,Dublin City University,,,
331,Business and administration,Accounting and Finance,DC115,544,,,,544,,578,8,Dublin City University,,,
332,Business and administration,Global Business (USA),DC116,613,*,,,613,*,625,8,Dublin City University,,,
333,Business and administration,Aviation Management / Aviation Management with Pilot Studies,DC117,484,,,,484,,520,8,Dublin City University,,,
334,Business and administration,Gnó agus Gaeilge / Business and Irish,DC118,368,,,,368,,419,8,Dublin City University,,,
335,Business and administration,Global Business (Canada),DC119,601,,,,601,,601,8,Dublin City University,,,
336,Information and Communication Technologies (ICTs),Computing for Business,DC120,403,,402,,402,,440,8,Dublin City University,,,
337,Information and Communication Technologies (ICTs),Computer Science,DC121,475,,,,476,,498,8,Dublin City University,,,
338,Information and Communication Technologies (ICTs),Data Science,DC123,501,,,,501,,542,8,Dublin City University,,,
339,Mathematics and statistics,Actuarial Mathematics,DC126,577,*,,,577,*,601,8,Dublin City University,,,
340,Mathematics and statistics,Common Entry into Actuarial and Financial Mathematics,DC127,541,,,,541,,566,8,Dublin City University,,,
341,Journalism and information,Communication Studies,DC131,421,,,,421,,479,8,Dublin City University,,,
342,Journalism and information,Journalism,DC132,452,,,,452,,487,8,Dublin City University,,,
343,Arts,Multimedia,DC133,435,,,,435,,473,8,Dublin City University,,,
344,Languages,Applied Language and Translation Studies,DC155,427,,,,431,,476,8,Dublin City University,,,
345,Physical sciences,Analytical Science,DC161,498,,,,498,,521,8,Dublin City University,,,
346,Physical sciences,Chemical and Pharmaceutical Sciences,DC162,531,*,,,532,,543,8,Dublin City University,,,
347,Physical sciences,Chemical Sciences General Entry (Undenominated Entry),DC163,466,*,,,466,*,510,8,Dublin City University,,,
348,Environment,Environmental Science and Technology,DC166,423,*,,,423,*,466,8,Dublin City University,,,
349,Biological and related sciences,Genetics and Cell Biology,DC168,543,*,,,543,*,555,8,Dublin City University,,,
350,Physical sciences,Physics General Entry (options),DC175,400,,,,400,,479,8,Dublin City University,,,
351,Biological and related sciences,Biological Sciences General Entry (Undenominated Entry),DC180,530,,,,530,,543,8,Dublin City University,,,
352,Biological and related sciences,Biotechnology,DC181,530,,,,530,,544,8,Dublin City University,,,
353,Engineering and engineering trades,Electronic and Computer Engineering (with choice of four majors),DC190,488,,,,488,,532,8,Dublin City University,,,
354,Engineering and engineering trades,Mechatronic Engineering,DC193,490,,,,490,,532,8,Dublin City University,,,
355,Environment,Sustainable Systems and Energy,DC194,476,,,,488,,509,8,Dublin City University,,,
356,Engineering and engineering trades,Mechanical and Manufacturing Engineering,DC195,500,,,,500,,521,8,Dublin City University,,,
357,Health,Biomedical Engineering,DC197,510,,,,510,,543,8,Dublin City University,,,
358,Engineering and engineering trades,Common Entry into Engineering (Undenominated Entry),DC200,511,,510,,510,,543,8,Dublin City University,,,
359,Health,Sport Science and Health,DC202,511,,,,511,,532,8,Dublin City University,,,
360,Education,Science Education,DC203,462,,,,462,,509,8,Dublin City University,,,
361,Health,Athletic Therapy and Training,DC204,558,,,,558,,578,8,Dublin City University,,,
362,Education,Physical Education with Biology,DC205,565,,,,565,,578,8,Dublin City University,,,
363,Education,Physical Education with Mathematics,DC206,521,,,,521,,544,8,Dublin City University,,,
364,Social and behavioural sciences,Psychology and Mathematics,DC207,521,,,,521,,543,8,Dublin City University,,,
365,Social and behavioural sciences,Psychology,DC208,565,,,,565,,577,8,Dublin City University,,,
366,Health,Health and Society,DC209,477,,,,477,,509,8,Dublin City University,,,
367,Social and behavioural sciences,Psychology and Disruptive Technologies,DC210,506,,,,506,,532,8,Dublin City University,,,
368,Health,General Nursing,DC215,456,*,,,456,*,485,8,Dublin City University,,,
369,Health,Mental Health Nursing,DC216,420,,,,420,,440,8,Dublin City University,,,
370,Health,Intellectual Disability Nursing,DC217,382,,,,382,,402,8,Dublin City University,,,
371,Health,Children`s and General Nursing (Integrated),DC218,521,*,,,521,*,554,8,Dublin City University,,,
372,Social and behavioural sciences,"Economics, Politics and Law",DC230,431,,,,431,,468,8,Dublin City University,,,
373,Social and behavioural sciences,International Relations,DC231,398,,,,399,,458,8,Dublin City University,,,
374,Law,Law and Society (BCL),DC232,469,,,,469,,511,8,Dublin City University,,,
375,Education,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,302,,,,302,,370,8,Dublin City University,,,
376,Humanities (except languages),Social Sciences and Cultural Innovation,DC238,387,,,,387,,440,8,Dublin City University,,,
377,Business and administration,"Marketing, Innovation and Technology",DC240,499,,,,499,,532,8,Dublin City University,,,
